	2.7770059 58.3962552	2.6801411 61.3001477	2.5954228 64.5961645	2.5208336 68.1564871	2.4544751 71.8982689	2.3948035 75.7700198	2.2910634 83.7903614	2.2454184 87.9084029	2.2031749 92.0872818	2.1639238 96.3222654	2.1273376 100.6100023	2.0931482 104.9478759	2.0611310 109.3336373	2.0310944 113.7652047	2.0028723 118.2405627	1.9763187 122.7577177	1.9513037 127.3146853	1.9054345 136.5401953	1.8843798 141.2048783	1.8644594 145.9016810	1.8277103 155.3845085	1.8107416 160.1671427	1.7946264 164.9751260	1.7793080 169.8069602	1.7647342 174.6612289	1.7508567 179.5365961	1.7376312 184.4318046	1.7250164 189.3456735	1.7129744 194.2770954	1.7014700 199.2250325	1.6904706 204.1885137	1.6799460 209.1666306	1.6698681 214.1585338	1.6602110 219.1634297
	2.7667346 57.5124163	2.6675670 60.4160960	2.5810804 63.7166135	2.5051525 67.2865739	2.4377874 71.0428706	2.3773615 74.9334225	2.2726405 83.0014668	2.2266884 87.1471303	2.1842226 91.3554310	2.1448146 95.6212132	2.1081220 99.9407842	2.0738652 104.3112557	2.0418110 108.7301646	2.0117609 113.1952623	1.9835435 117.7044040	1.9570087 122.2554968	1.9320231 126.8464806	1.8862356 136.1400430	1.8652293 140.8386878	1.8453606 145.5693761	1.8087207 155.1196858	1.7918081 159.9358986	1.7757493 164.7773456	1.7604872 169.6425270	1.7459692 174.5300262	1.7321469 179.4385083	1.7189757 184.3667183	1.7064143 189.3134781	1.6944246 194.2776833	1.6829713 199.2582999	1.6720219 204.2543604	1.6615459 209.2649601	1.6515155 214.2892536	1.6419045 219.3264509
	2.7564633 56.6950908	2.6549929 59.5983906	2.5667379 62.9030677	2.4894715 66.4821850	2.4210996 70.2524306	2.3599194 74.1611898	2.2542176 82.2758488	2.2079583 86.4487030	2.1652703 90.6860947	2.1257053 94.9824546	2.0889063 99.3337524	2.0545822 103.7368277	2.0224909 108.1890006	1.9924273 112.6878511	1.9642147 117.2310993	1.9376986 121.8165469	1.9127426 126.4420517	1.8670367 135.8049150	1.8460788 140.5382535	1.8262618 145.3036233	1.7897311 154.9231800	1.7728746 159.7739313	1.7568722 164.6498480	1.7416664 169.5494250	1.7272042 174.4712422	1.7134371 179.4139629	1.7003203 184.3763314	1.6878122 189.3571699	1.6758748 194.3553748	1.6644727 199.3699135	1.6535731 204.3998203	1.6431458 209.4441925	1.6331628 214.5021871	1.6235980 219.5730163
	2.7461921 55.9398488	2.6424188 58.8428204	2.5523955 62.1515648	2.4737904 65.7396217	2.4044119 69.5235174	2.3424774 73.4501521	2.2357946 81.6108261	2.1892283 85.8106625	2.1463180 90.0770218	2.1065961 94.4039312	2.0696906 98.7870271	2.0352992 103.2228782	2.0031709 107.7085860	1.9730938 112.2415554	1.9448859 116.8193673	1.9183886 121.4397126	1.8934621 126.1003615	1.8478378 135.5339916	1.8269284 140.3028558	1.8071630 145.1037986	1.7707415 154.7945461	1.7539411 159.6808796	1.7379951 164.5923531	1.7228455 169.5274525	1.7084392 174.4847513	1.6947273 179.4629082	1.6816648 184.4606640	1.6692101 189.4768389	1.6573250 194.5103281	1.6459740 199.5600984	1.6351243 204.6251842	1.6247457 209.7046831	1.6148101 214.7977527	1.6052915 219.9036062
	2.7359208 55.2427485	2.6298447 58.1456303	2.5380530 61.4585645	2.4581094 65.0555739	2.3877241 68.8530560	2.3250354 72.7974665	2.2173717 81.0039953	2.1704983 85.2308074	2.1273657 89.5262010	2.0874869 93.8838093	2.0504750 98.2989407	2.0160162 102.7678945	1.9838508 107.2875531	1.9537603 111.8551436	1.9255571 116.4681040	1.8990785 121.1240103	1.8741816 125.8205405	1.8286389 135.3266137	1.8077779 140.1319335	1.7880642 144.9694347	1.7517519 154.7334933	1.7350076 159.6565368	1.7191180 164.6047350	1.7040247 169.5765622	1.6896742 174.5705825	1.6760175 179.5854473	1.6630094 184.6198918	1.6506081 189.6727319	1.6387752 194.7428596	1.6274753 199.8292393	1.6166755 204.9309035	1.6063456 210.0469490	1.5964575 215.1765325	1.5869850 220.3188669
	2.7256495 54.6002792	2.6172706 57.5034699	2.5237106 60.8209031	2.4424283 64.4270795	2.3710364 68.2382922	2.3075933 72.2005867	2.1989488 80.4532071	2.1517682 84.7071738	2.1084134 89.0318433	2.0683777 93.4204647	2.0312593 97.8680241	1.9967331 102.3705536	1.9645308 106.9247161	1.9344267 111.5275594	1.9062282 116.1763756	1.8797684 120.8686222	1.8549011 125.6018809	1.8094400 135.1822790	1.7886274 140.0250807	1.7689654 144.9002182	1.7327623 154.7398840	1.7160741 159.7008485	1.7002409 164.6870208	1.6852038 169.6968602	1.6709092 174.7289190	1.6573077 179.7818389	1.6443539 184.8543474	1.6320060 189.9452538	1.6202254 195.0534452	1.6089766 200.1778818	1.5982268 205.3175929	1.5879455 210.4716726	1.5781048 215.6392757	1.5686785 220.8196134
	2.7153782 54.0093116	2.6046965 56.9133489	2.5093682 60.2357532	2.4267472 63.8514898	2.3543486 67.6767630	2.2901513 71.6572363	2.1805258 79.9565471	2.1330382 84.2380180	2.0894611 88.5923675	2.0492684 93.0124705	2.0120436 97.4929962	1.9774501 102.0297124	1.9452108 106.6190627	1.9150932 111.2579147	1.8868994 115.9434120	1.8604584 120.6728905	1.8356206 125.4438325	1.7902412 135.1006392	1.7694769 139.9820444	1.7498665 144.8959881	1.7137727 154.8137324	1.6971406 159.8139134	1.6813638 164.8393909	1.6663830 169.8886071	1.6521443 174.9600997	1.6385979 180.0524987	1.6256985 185.1645216	1.6134039 190.2949696	1.6016756 195.4427227	1.5904779 200.6067355	1.5797780 205.7860326	1.5695454 210.9797042	1.5597521 216.1869017	1.5503720 221.4068337
	2.7051069 53.4670562	2.5921224 56.3725990	2.4950257 59.7005907	2.4110662 63.3264393	2.3376609 67.1662699	2.2727093 71.1653865	2.1621029 79.5123186	2.1143081 83.8218014	2.0705088 88.2063870	2.0301592 92.6585849	1.9928280 97.1727536	1.9581671 101.7443992	1.9258907 106.3697471	1.8957597 111.0454833	1.8675706 115.7686016	1.8411483 120.5363136	1.8163400 125.3459990	1.7710423 135.0814975	1.7503264 140.0027227	1.7307677 144.9567345	1.6947830 154.9552053	1.6782071 159.9959830	1.6624867 165.0621801	1.6475622 170.1522189	1.6333793 175.2646207	1.6198881 180.3980012	1.6070430 185.5510663	1.5948018 190.7226070	1.5831258 195.9114950	1.5719792 201.1166776	1.5613292 206.3371732	1.5511453 211.5720668	1.5413994 216.8205052	1.5320655 222.0816935
	2.6948357 52.9710275	2.5795483 55.8788415	2.4806833 59.2131649	2.3953851 62.8498201	2.3209731 66.7048563	2.2552672 70.7232356	2.1436800 79.1190270	2.0955781 83.4571779	2.0515565 87.8726987	2.0110500 92.3577427	1.9736123 96.9063631	1.9388841 101.5138074	1.9065707 106.1760838	1.8764261 110.8896965	1.8482418 115.6514877	1.8218383 120.4585427	1.7970595 125.3081359	1.7518434 135.1248080	1.7311760 140.0871644	1.7116689 145.0825987	1.6757934 155.1646224	1.6592736 160.2474636	1.6436095 165.3558793	1.6287413 170.4882699	1.6146143 175.6431379	1.6011784 180.8190831	1.5883876 186.0147976	1.5761997 191.2290609	1.5645760 196.4607345	1.5534805 201.7087571	1.5428805 206.9721396	1.5327453 212.2499605	1.5230468 217.5413612	1.5137590 222.8455417
	2.6845644 52.5190129	2.5669742 55.4299590	2.4663409 58.7714736	2.3797041 62.4197597	2.3042854 66.2907881	2.2378252 70.3291922	2.1252570 78.7753676	2.0768480 83.1429825	2.0326042 87.5902735	1.9919408 92.1090463	1.9543966 96.6930542	1.9196011 101.3372892	1.8872507 106.0375433	1.8570926 110.7901389	1.8289130 115.5917652	1.8025282 120.4393795	1.7777790 125.3301486	1.7326445 135.2306749	1.7120255 140.2355696	1.6925701 145.2738743	1.6568038 155.4424586	1.6403401 160.5689181	1.6247324 165.7211382	1.6099205 170.8974951	1.5958493 176.0964707	1.5824686 181.3166468	1.5697321 186.5567003	1.5575976 191.8153973	1.5460261 197.0915877	1.5349818 202.3842003	1.5244317 207.6922373	1.5143452 213.0147694	1.5046941 218.3509316	1.4954525 223.6999177
